Item No.	PART NUMBER	revision	QTY	Description	Material	Finish	Treatment	Colour	Comments	SecondProcess	Third Process	Author	Approved	Asset	SW-Folder Name(Folder Name)	SW-File Name(File Name)	SW-Configuration Name(Configuration Name)	Distributor	mass	DrawnDate	OEM_Internet	OEM_Supplier	OEM_Data_Sheet	Qb_Code	QB_Catergory	Sheet Metal Thickness	Spare_Part	Supplier_Part_Number
1.3.4.1.56	        AS 1112.1 S1 - M10-D-NZP		1	M10 HEX NUT Z/P	316 SS				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\nuts\hex nuts\	hexagon nut style 1 (grades a and b)_as	AS 1112.1 S1 - M10-D-NZP		0.011			Costless Bolts						
1.3.4.1.57	        AS 1237.1 N - 6ZP		17	M6 FLAT WASHER Z/P	Zinc Plate				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\plain washers\	plain washer - normal_1_as	AS 1237.1 N - 6ZP		0.0			Costless Bolts						
1.3.4.1.58	        AS 1237.1 N - 16SS		10	M16 SS WASHER (17 ID X 30 OD X 3.0 THICK)	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\plain washers\	plain washer - normal_1_as	AS 1237.1 N - 16SS		0.0			Costless Bolts						
1.3.4.1.59	        OEM-ISO325PYS		2	ISO ENCLOSED SWITCH 3P 25A		NATURAL			PURCHASE			DMG			C:\AWS PDM\OEM\1058. Electrical\	OEM-ISO325PYS	Default	REXEL	0.4	26/07/2021	https://www.nhp.com.au/Catalogs/NHP_AU_Catalog/NHP_AU_Catalog-Categories/NHP_AU_Catalog-217587/NHP_AU_Catalog-387/NHP_AU_Catalog-764/NHP_AU_Catalog-856/ISO325PYS	NHP	W:\Solidworks\Proprietry\3 QBooks Cat\OEM Data Sheets\ISO325PYS-227685-datasheet.pdf	1058	Electrical		YES	ISO325PYS
1.3.4.2	      AWS-Z-002001	1	1	SLIP SHEET APPLICATOR ASSEMBLY	REFER TO BOM	NATURAL			ASSEMBLY			CL	 		C:\AWS PDM\AWS\	AWS-Z-002001	Default		0.0	20/08/2020							-	
1.3.4.2.1	        AWS-B-002049	1	1	SLIP SHEET CARRIAGE RAIL PAINTED RH	AS PER BOM	POWDERCOAT		PEARL WHITE - GLOSS: 236,242,241	PAINT			CL	DG		C:\AWS PDM\AWS\	AWS-B-002049	Default		51.3	20/08/2020							-	
1.3.4.2.1.1	          AWS-B-002002	1	1	SLIP SHEET CARRIAGE RAIL WELDMENT RH	AS PER BOM	NATURAL			WELDING			CL	DG		C:\AWS PDM\AWS\	AWS-B-002002	RIGHT HAND		51.3	20/08/2020							-	
1.3.4.2.1.1.1	            AWS-A-002007	1	1	SLIP SHEET CARRIAGE TUBE	MS	NATURAL			CUTTING			CL	CL		C:\AWS PDM\AWS\	AWS-A-002007	Default<As Machined>		16.2	20/08/2020							-	
1.3.4.2.1.1.1.1	              		1	DN 65	MS												Default<As Machined>		16.2									
1.3.4.2.1.1.2	            AWS-A-002009	1	1	SLIP SHEET CARRIAGE ANGLE RH	MS	NATURAL			CUTTING	MACHINE		CL	CL		C:\AWS PDM\AWS\	AWS-A-002009	RIGHT HAND<As Machined>		35.1	20/08/2020							-	
1.3.4.2.1.1.2.1	              		1	150x90x10	MS												RIGHT HAND<As Machined>		35.1									
1.3.4.2.2	        AWS-B-002048	1	1	SLIP SHEET CARRIAGE RAIL PAINTED LH	AS PER BOM	POWDERCOAT		PEARL WHITE - GLOSS: 236,242,241	PAINT			CL	DG		C:\AWS PDM\AWS\	AWS-B-002048	Default		51.2	20/08/2020							-	
1.3.4.2.2.1	          AWS-B-002003	1	1	SLIP SHEET CARRIAGE RAIL WELDMENT LH	AS PER BOM	NATURAL			WELDING			CL	DG		C:\AWS PDM\AWS\	AWS-B-002003	LEFT HAND		51.2	20/08/2020							-	
1.3.4.2.2.1.1	            AWS-A-002007	1	1	SLIP SHEET CARRIAGE TUBE	MS	NATURAL			CUTTING			CL	CL		C:\AWS PDM\AWS\	AWS-A-002007	Default<As Machined>		16.2	20/08/2020							-	
1.3.4.2.2.1.1.1	              		1	DN 65	MS												Default<As Machined>		16.2									
1.3.4.2.2.1.2	            AWS-A-002008	1	1	SLIP SHEET CARRIAGE ANGLE LH	MS	NATURAL			CUTTING			CL	CL		C:\AWS PDM\AWS\	AWS-A-002008	LEFT HAND<As Machined>		35.0	20/08/2020							-	
1.3.4.2.2.1.2.1	              		1	150x90x10	MS												LEFT HAND<As Machined>		35.0									
1.3.4.2.3	        AWS-A-002033	1	1	SLIP SHEET CARRIAGE END STOP	MS - GR250	ZINC			LASERCUT	FOLDING		CL	CL		C:\AWS PDM\AWS\	AWS-A-002033	Default		1.8	20/08/2020						5	-	
1.3.4.2.3.1	          		1	Sheet	MS - GR250												Default		1.8							5		
1.3.4.2.4	        AWS-A-002034	1	1	SLIP SHEET CARRIAGE END STOP - OPPOSITE	MS - GR250	ZINC			LASERCUT	FOLDING		CL	CL		C:\AWS PDM\AWS\	AWS-A-002034	Default		1.8	20/08/2020						5	-	
1.3.4.2.4.1	          		1	Sheet	MS - GR250												Default		1.8							5		
1.3.4.2.5	        AWS-Z-002004	1	1	SLIP SHEET CARRIAGE TRACK BOX RH	AS PER BOM	NATURAL			ASSEMBLY			CL	DG		C:\AWS PDM\AWS\	AWS-Z-002004	Default		11.1	20/08/2020							-	
1.3.4.2.5.1	          AWS-B-002042	1	1	CARRIAGE TRACK BOX PAINTED RH	AS PER BOM	POWDERCOAT		SAFETY YELLOW - GLOSS: 241,190,36	PAINT			CL	DG		C:\AWS PDM\AWS\	AWS-B-002042	Default		9.9	20/08/2020							-	
1.3.4.2.5.1.1	            AWS-B-002038	1	1	CARRIAGE TRACK BOX WELDMENT RH	AS PER BOM	NATURAL			WELDING			CL	DG		C:\AWS PDM\AWS\	AWS-B-002038	Default		9.9	20/08/2020							YES	
1.3.4.2.5.1.1.1	              AWS-A-002039	1	1	CARRIAGE TRACK BOX	MS - GR250	NATURAL			CUTTING	MACHINE		CL	CL		C:\AWS PDM\AWS\	AWS-A-002039	Default<As Machined>		9.3	20/08/2020							-	
1.3.4.2.5.1.1.1.1	                		1	200x100x5.0 RHS	500												Default<As Machined>		9.3									
1.3.4.2.5.1.1.2	              AWS-A-002040	1	1	CARRIAGE TRACK BOX PLATE	MS - GR250	NATURAL			LASERCUT			CL	CL		C:\AWS PDM\AWS\	AWS-A-002040	Default		0.4	20/08/2020						5	-	
1.3.4.2.5.1.1.2.1	                		1	Sheet	MS - GR250												Default		0.4							5		
1.3.4.2.5.1.1.3	              AWS-A-002041	1	2	CARRIAGE TRACK BOX BRACKET	MS - GR250	NATURAL			LASERCUT			CL	CL		C:\AWS PDM\AWS\	AWS-A-002041	Default		0.1	20/08/2020						5	-	
1.3.4.2.5.1.1.3.1	                		1	Sheet	MS - GR250												Default		0.1							5		
1.3.4.2.5.2	          AWS-A-002045	1	4	CARRIAGE ROLLER	Delrin - Black	NATURAL			MACHINE			CL	DG		C:\AWS PDM\AWS\	AWS-A-002045	Default		0.1	20/08/2020							-	
1.3.4.2.5.3	          AWS-A-002044	2	8	CARRIAGE ROLLER SPACER	Delrin - White	NATURAL			MACHINE			CL	Admin		C:\AWS PDM\AWS\	AWS-A-002044	Default		0.0	20/08/2020							-	
1.3.4.2.5.4	          AWS-A-002046	1	2	CARRIAGE CHAIN TENSIONER	12mm Stainless Steel Allthread	NATURAL			CUTTING	MACHINE		CL	DG		C:\AWS PDM\AWS\	AWS-A-002046	Default		0.1	20/08/2020							-	
1.3.4.2.5.5	          OEM-SCLBHM13-89.5	-	4	MISUMI PIVOT PIN M13 X 89.5	SS304	NATURAL			PURCHASE			MF			C:\AWS PDM\OEM\1051. Transmission\	OEM-SCLBHM13-89.5	Default		0.1	30/04/2019	www.sg.misumi-ec.com	MISUMI	W:\Solidworks\Proprietry\3 QBooks Cat\OEM Data Sheets\1051_Misumi Pivot Pins	1051	Transmission		YES	SCLBHM13-89.5
1.3.4.2.5.6	          AS 1237.1 N - 8MS		8	M8 FLAT WASHER - Z/P	Mild Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\washers\plain washers\	plain washer - normal_1_as	AS 1237.1 N - 8MS		0.0			Costless Bolts						
1.3.4.2.5.7	          AS 1420 - M8 x 25-NSS		8	M8 x 25 Socket Head Cap Screw Stainless Steel	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\bolts and screws\socket head screws\	hexagon socket head cap screw_1_as	AS 1420 - M8 x 25-NSS		0.02			Costless Bolts						
